10.110.135.10       # hr.facebook.com
10.110.143.20       # staging.scgraph.facebook.com
10.110.199.18       # interngraph.scgraph.facebook.com
10.110.231.12       # dev.facebook.com
10.110.231.18       # interngraph.staging.scgraph.facebook.com
24.30.201.53        # ae0.pr03.sjc1.tfbnw.net
27.131.215.161      # instagram.fccu10-1.fna.fbcdn.net
31.13.27.54         # ae0.bb01.bos2.tfbnw.net
31.13.27.55         # ae0.bb02.bos2.tfbnw.net
31.13.65.7          # scontent-atl.xx.fbcdn.net
31.13.65.14         # edge-video-shv-01-atl3.fbcdn.net
31.13.65.32         # instagram-p15-shv-01-atl3.fbcdn.net
31.13.65.35         # edge-sonar-mini-shv-01-atl3.fbcdn.net
31.13.65.49         # whatsapp-cdn-shv-01-atl3.fbcdn.net
31.13.65.52         # instagram-p3-shv-01-atl3.fbcdn.net
31.13.66.1          # secure.prod.facebook.com
31.13.66.3          # bunnylol.facebook.net
31.13.66.4          # graph.facebook.com
31.13.66.10         # edge-mqtt-shv-01-iad3.facebook.com
31.13.66.13         # stun.fbsbx.com
31.13.66.14         # b.beta.facebook.net
31.13.66.17         # secure.alpha.facebook.com
31.13.66.18         # atlas.c10r.facebook.com
31.13.66.19         # 9fdmqbgdmp.apps.fbsbx.com
31.13.66.28         # edge-video-shv-01-iad3.fbcdn.net
31.13.66.34         # mqtt-mini.facebook.com
31.13.66.35         # b-graph.facebook.com
31.13.66.36         # n.facebook.com
31.13.66.37         # instagram-p15-shv-01-iad3.fbcdn.net
31.13.66.38         # sonar-iad.xx.fbcdn.net
31.13.66.49         # z-p3-graph.facebook.com
31.13.66.53         # edgeray-shv-01-iad3.facebook.com
31.13.66.56         # whatsapp-cdn-shv-01-iad3.fbcdn.net
31.13.66.63         # instagram-p3-shv-01-iad3.fbcdn.net
31.13.66.169        # z-p4-graph.facebook.com
31.13.66.174        # instagram-p42-shv-01-iad3.fbcdn.net
31.13.67.17         # edge-video-shv-01-mia3.fbcdn.net
31.13.67.20         # scontent-mia.xx.fbcdn.net
31.13.67.49         # edge-oculus-shv-01-mia3.fbcdn.net
31.13.67.63         # instagram-p3-shv-01-mia3.fbcdn.net
31.13.70.7          # scontent-lax3-1.xx.fbcdn.net
31.13.70.14         # edge-video-shv-01-lax3.fbcdn.net
31.13.70.49         # whatsapp-cdn-shv-01-lax3.fbcdn.net
31.13.70.52         # instagram-p3-shv-01-lax3.fbcdn.net
31.13.70.53         # z-p3-scontent-lax3-1.xx.fbcdn.net
31.13.71.7          # external-lga3-1.xx.fbcdn.net
31.13.71.14         # edge-video-shv-01-lga3.fbcdn.net
31.13.71.51         # edge-oculus-shv-01-lga3.fbcdn.net
31.13.71.52         # instagram-p3-shv-01-lga3.fbcdn.net
31.13.71.174        # instagram-p42-shv-01-lga3.fbcdn.net
31.13.72.2          # edge-atlas-shv-01-arn2.facebook.com
31.13.72.5          # edge-mqtt-shv-01-arn2.facebook.com
31.13.72.8          # edge-star-shv-01-arn2.facebook.com
31.13.72.12         # scontent-arn2-1.xx.fbcdn.net
31.13.72.14         # edge-video-shv-01-arn2.fbcdn.net
31.13.72.18         # edge-extern-shv-01-arn2.facebook.com
31.13.72.34         # edge-mqtt-mini-shv-01-arn2.facebook.com
31.13.72.36         # edge-star-mini-shv-01-arn2.facebook.com
31.13.72.37         # edge-z-m-mini-shv-01-arn2.facebook.com
31.13.72.52         # whatsapp-cdn-shv-01-arn2.fbcdn.net
31.13.72.53         # instagram-p3-shv-01-arn2.fbcdn.net
31.13.72.169        # edge-z-p4-shv-01-arn2.facebook.com
31.13.73.34         # edge-sonar-mini-shv-01-dub4.fbcdn.net
31.13.73.63         # instagram-p3-shv-01-dub4.fbcdn.net
31.13.79.20         # edge-video-shv-02-bom1.fbcdn.net
31.13.79.26         # xx-fbcdn-shv-02-bom1.fbcdn.net
31.13.79.32         # edge-mqtt-mini-shv-02-bom1.facebook.com
31.13.79.52         # edgeray-shv-02-bom1.facebook.com
31.13.79.53         # whatsapp-cdn-shv-02-bom1.fbcdn.net
31.13.80.2          # edge-atlas-shv-01-yyz1.facebook.com
31.13.80.5          # edge-mqtt-shv-01-yyz1.facebook.com
31.13.80.8          # edge-star-shv-01-yyz1.facebook.com
31.13.80.9          # edge-video-shv-01-yyz1.fbcdn.net
31.13.80.12         # scontent-yyz1-1.xx.fbcdn.net
31.13.80.34         # edge-mqtt-mini-shv-01-yyz1.facebook.com
31.13.80.35         # edge-sonar-mini-shv-01-yyz1.fbcdn.net
31.13.80.36         # edge-star-mini-shv-01-yyz1.facebook.com
31.13.80.49         # edge-oculus-shv-01-yyz1.fbcdn.net
31.13.80.52         # instagram-p3-shv-01-yyz1.fbcdn.net
31.13.80.53         # whatsapp-cdn-shv-01-yyz1.fbcdn.net
31.13.80.55         # edge-turnservice-shv-01-yyz1.facebook.com
31.13.80.174        # instagram-p42-shv-01-yyz1.fbcdn.net
31.13.82.1          # edge-star-shv-01-nrt1.facebook.com
31.13.82.2          # edge-atlas-shv-01-nrt1.facebook.com
31.13.82.3          # edge-mqtt-shv-01-nrt1.facebook.com
31.13.82.7          # scontent-nrt1-1.xx.fbcdn.net
31.13.82.15         # edge-video-shv-01-nrt1.fbcdn.net
31.13.82.34         # edge-mqtt-mini-shv-01-nrt1.facebook.com
31.13.82.35         # edge-sonar-mini-shv-01-nrt1.fbcdn.net
31.13.82.36         # edge-star-mini-shv-01-nrt1.facebook.com
31.13.82.37         # edge-z-m-mini-shv-01-nrt1.facebook.com
31.13.82.51         # whatsapp-cdn-shv-01-nrt1.fbcdn.net
31.13.82.52         # instagram-p3-shv-01-nrt1.fbcdn.net
31.13.82.54         # edge-turnservice-shv-01-nrt1.facebook.com
31.13.82.174        # instagram-p42-shv-01-nrt1.fbcdn.net
31.13.83.1          # edge-atlas-shv-01-mad1.facebook.com
31.13.83.2          # edge-mqtt-shv-01-mad1.facebook.com
31.13.83.4          # scontent-b-mad.xx.fbcdn.net
31.13.83.8          # edge-star-shv-01-mad1.facebook.com
31.13.83.11         # livestream-edgetee-upload-shv-01-mad1.facebook.com
31.13.83.16         # edge-video-shv-01-mad1.fbcdn.net
31.13.83.17         # edge-secure-shv-01-mad1.facebook.com
31.13.83.19         # edge-extern-shv-01-mad1.facebook.com
31.13.83.21         # edge-z-p1-shv-01-mad1.facebook.com
31.13.83.28         # edge-shortwave-shv-01-mad1.facebook.com
31.13.83.34         # edge-mqtt-mini-shv-01-mad1.facebook.com
31.13.83.36         # edge-star-mini-shv-01-mad1.facebook.com
31.13.83.37         # edge-z-m-mini-shv-01-mad1.facebook.com
31.13.83.39         # iorg-fba-edge-shv-01-mad1.facebook.com
31.13.83.48         # edgeray-shv-01-mad1.facebook.com
31.13.83.49         # whatsapp-chatd-edge-shv-01-mad1.facebook.com
31.13.83.51         # whatsapp-cdn-shv-01-mad1.fbcdn.net
31.13.83.52         # instagram-p3-shv-01-mad1.fbcdn.net
31.13.83.53         # edge-z-p3-shv-01-mad1.facebook.com
31.13.83.54         # edge-turnservice-shv-01-mad1.facebook.com
31.13.83.56         # wit-edge-shv-01-mad1.facebook.com
31.13.83.169        # edge-z-p4-shv-01-mad1.facebook.com
31.13.83.170        # edge-mqtt-p4-shv-01-mad1.facebook.com
31.13.83.173        # edge-ig-mqtt-p4-shv-01-mad1.facebook.com
31.13.84.1          # edge-atlas-shv-01-vie1.facebook.com
31.13.84.2          # edge-mqtt-shv-01-vie1.facebook.com
31.13.84.4          # scontent-b-vie.xx.fbcdn.net
31.13.84.8          # edge-star-shv-01-vie1.facebook.com
31.13.84.15         # edge-video-shv-01-vie1.fbcdn.net
