2001:12e0:803:23:face:b00c:0:358e       # video.faqa1-1.fna.fbcdn.net
2001:12e0:803:23:face:b00c:0:a7         # scontent.faqa1-1.fna.fbcdn.net
2001:12e0:803:23:face:b00c:3333:1b26    # z-p3-scontent.faqa1-1.fna.fbcdn.net
2001:12e0:803:23:face:b00c:3333:a3f     # instagram.faqa1-1.fna.fbcdn.net
2001:12e0:803:26:face:b00c:0:a7         # scontent.fcpq5-1.fna.fbcdn.net
2001:12e0:803:2c:face:b00c:0:358e       # video.fcgh11-1.fna.fbcdn.net
2001:12e0:803:2c:face:b00c:0:a7         # scontent.fcgh11-1.fna.fbcdn.net
2001:12e0:803:2c:face:b00c:3333:1b26    # z-p3-scontent.fcgh11-1.fna.fbcdn.net
2001:12e0:803:2c:face:b00c:3333:a3f     # instagram.fcgh11-1.fna.fbcdn.net
2001:12e0:803:2d:face:b00c:0:358e       # video.fcgh10-1.fna.fbcdn.net
2001:12e0:803:2d:face:b00c:0:a7         # external.fcgh10-1.fna.fbcdn.net
2001:12e0:803:2d:face:b00c:3333:a3f     # instagram.fcgh10-1.fna.fbcdn.net
2001:12e0:803:3d:face:b00c:0:a7         # scontent.fcgh20-1.fna.fbcdn.net
2001:12e0:803:3d:face:b00c:3333:a3f     # instagram.fcgh20-1.fna.fbcdn.net
2001:12f0:33f:0:face:b00c:0:358e        # video.fpoa10-1.fna.fbcdn.net
2001:12f0:33f:0:face:b00c:0:a7          # scontent.fpoa10-1.fna.fbcdn.net
2001:12f0:33f:0:face:b00c:1155:a59      # z-1-scontent.fpoa10-1.fna.fbcdn.net
2001:12f0:33f:0:face:b00c:3333:a3f      # instagram.fpoa10-1.fna.fbcdn.net
2001:12f0:f78:2:face:b00c:0:a7          # external.frec10-1.fna.fbcdn.net
2001:12f0:f78:2:face:b00c:3333:1b26     # z-p3-scontent.frec10-1.fna.fbcdn.net
2001:12f0:f78:2:face:b00c:3333:a3f      # instagram.frec10-1.fna.fbcdn.net
2001:1388:9:5:face:b00c:0:a7            # scontent.flim10-1.fna.fbcdn.net
2001:1388:9:5:face:b00c:3333:a3f        # instagram.flim10-1.fna.fbcdn.net
2001:1388:b49:3:face:b00c:0:a7          # scontent.flim11-1.fna.fbcdn.net
2001:16a6:c000:11:face:b00c:3333:a3f    # instagram.fmed1-1.fna.fbcdn.net
2001:1998:0:8::6d9                      # ae0.pr03.sjc1.tfbnw.net
2001:388:10d0:1:face:b00c:0:a7          # scontent.fcbr1-1.fna.fbcdn.net
2001:41b0:fe:10:face:b00c:3333:a3f      # instagram.fwaw3-1.fna.fbcdn.net
2001:4218:2000:106:face:b00c:0:a7       # external.fjnb1-1.fna.fbcdn.net
2001:4218:2000:106:face:b00c:3333:a3f   # instagram.fjnb1-1.fna.fbcdn.net
2001:4298:88:6000:face:b00c:0:a7        # scontent.fjib1-1.fna.fbcdn.net
2001:4298:88:6000:face:b00c:3333:a3f    # instagram.fjib1-1.fna.fbcdn.net
2001:4450:0:e201:face:b00c:3333:a3f     # instagram.fmnl4-3.fna.fbcdn.net
2001:4450:0:e203:face:b00c:0:a7         # scontent.fmnl4-4.fna.fbcdn.net
2001:4450:8:e203:face:b00c:0:a7         # scontent.fmnl4-6.fna.fbcdn.net
2001:4450:c:e203:face:b00c:0:a7         # scontent.fmnl4-2.fna.fbcdn.net
2001:4546:1000:1001:face:b00c:0:a7      # scontent.ftpe4-1.fna.fbcdn.net
2001:4546:1000:1004:face:b00c:0:a7      # scontent.ftpe3-2.fna.fbcdn.net
2001:508:b:0:face:b00c:0:a7             # scontent.fbda1-1.fna.fbcdn.net
2001:550:2:1f::c7:2                     # ae0.pr04.sjc1.tfbnw.net
2001:569:c002:30:face:b00c:0:358e       # video.fyka1-1.fna.fbcdn.net
2001:569:c002:30:face:b00c:0:a7         # scontent.fyka1-1.fna.fbcdn.net
2001:569:c002:30:face:b00c:3333:a3f     # instagram.fyka1-1.fna.fbcdn.net
2001:7e0:2:106:face:b00c:0:a7           # scontent.fman1-2.fna.fbcdn.net
2001:7f8:b7::a503:2934:2                # ae0.pr01.ams2.tfbnw.net
2001:8c0:8b00:2:face:b00c:0:a7          # scontent.fosl1-1.fna.fbcdn.net
2001:b00:1:a:face:b00c:0:a7             # scontent.ffco3-1.fna.fbcdn.net
2001:b034:1013:201:face:b00c:0:a7       # scontent.ftpe7-3.fna.fbcdn.net
2001:b034:1013:202:face:b00c:0:a7       # scontent.ftpe7-4.fna.fbcdn.net
2001:b034:1c:102:face:b00c:0:a7         # scontent.ftpe8-4.fna.fbcdn.net
2001:c38:5000:10c:face:b00c:0:358e      # video.fbkk10-1.fna.fbcdn.net
2001:c38:5000:10c:face:b00c:0:a7        # external.fbkk10-1.fna.fbcdn.net
2001:c38:5000:10c:face:b00c:3333:a3f    # instagram.fbkk10-1.fna.fbcdn.net
2001:d18:face:b00c:face:b00c:0:358e     # video.fmnl10-1.fna.fbcdn.net
2001:d18:face:b00c:face:b00c:0:a7       # external.fmnl10-1.fna.fbcdn.net
2001:d18:face:b00c:face:b00c:3333:1b26  # z-p3-scontent.fmnl10-1.fna.fbcdn.net
2001:d18:face:b00c:face:b00c:3333:a3f   # instagram.fmnl10-1.fna.fbcdn.net
2001:df5:b00:f00:face:b00c:0:a7         # scontent.fbom20-1.fna.fbcdn.net
2001:df7:6e00:3:face:b00c:0:a7          # scontent.fbom11-1.fna.fbcdn.net
2001:df7:6e00:3:face:b00c:3333:a3f      # instagram.fbom11-1.fna.fbcdn.net
2001:e68:1:a:face:b00c:0:a7             # external.fkul8-1.fna.fbcdn.net
2001:ee0:3224:0:face:b00c:0:a7          # scontent.fvca1-1.fna.fbcdn.net
2001:ee0:3224:0:face:b00c:3333:a3f      # instagram.fvca1-1.fna.fbcdn.net
2001:f40:0:d:face:b00c:0:358e           # video.fkul10-1.fna.fbcdn.net
2001:f40:0:d:face:b00c:0:a7             # external.fkul10-1.fna.fbcdn.net
2001:f40:0:d:face:b00c:3333:a3f         # instagram.fkul10-1.fna.fbcdn.net
2001:fd0:0:c:face:b00c:0:a7             # scontent.fdel21-1.fna.fbcdn.net
2001:fe0:10:8:face:b00c:0:358e          # video.fceb1-1.fna.fbcdn.net
2001:fe0:10:8:face:b00c:0:a7            # external.fceb1-1.fna.fbcdn.net
2001:fe0:10:8:face:b00c:1155:a59        # z-m-scontent.fceb1-1.fna.fbcdn.net
2001:fe0:10:8:face:b00c:3333:a3f        # instagram.fceb1-1.fna.fbcdn.net
2400:4d40:f000:1:face:b00c:0:a7         # scontent.fdac11-1.fna.fbcdn.net
2400:6280:7:0:face:b00c:0:a7            # scontent.fbkk11-1.fna.fbcdn.net
2400:6280:7:0:face:b00c:3333:a3f        # instagram.fbkk11-1.fna.fbcdn.net
2400:8b00:300:2:face:b00c:3333:a3f      # instagram.fcgk11-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:0:358e        # video.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:0:a7          # scontent.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:3333:1b26     # z-p3-external.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:3333:a3f      # instagram.fmdc1-1.fna.fbcdn.net
2401:9640:1702:3:face:b00c:0:a7         # scontent.fdel10-1.fna.fbcdn.net
2401:9640:1702:3:face:b00c:3333:a3f     # instagram.fdel10-1.fna.fbcdn.net
2401:db00:20ff:ff35:face:b00c:0:75c6    # dev.facebook.com
2401:db00:ff:ff2b:face:b00c:0:63a3      # ctscan.facebook.com
2401:db00:ff:fff6:face:b00c:0:462d      # interngraph.scgraph.facebook.com
2402:7500:601:2:face:b00c:0:a7          # scontent.ftpe11-1.fna.fbcdn.net
2402:7500:601:2:face:b00c:3333:a3f      # instagram.ftpe11-1.fna.fbcdn.net
2402:800:6151:102:face:b00c:0:a7        # external.fhan5-2.fna.fbcdn.net
2402:9d80:101:4:face:b00c:3333:a3f      # instagram.fsgn10-1.fna.fbcdn.net
2403:c300:261:0:face:b00c:0:a7          # scontent.ftpe2-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:0:358e       # video.ftpe10-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:0:a7         # external.ftpe10-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:3333:a3f     # instagram.ftpe10-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:0:358e          # video.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:0:a7            # scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:1155:a59        # z-m-scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:3333:1b26       # z-p3-scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:3333:a3f        # instagram.fdac1-1.fna.fbcdn.net
2404:4a00:3293:4001:face:b00c:0:a7      # scontent.fbkk5-2.fna.fbcdn.net
2404:7000:1000:0:face:b00c:0:a7         # scontent.fisb5-1.fna.fbcdn.net
2404:7000:b110:0:face:b00c:0:358e       # video.fkhi11-1.fna.fbcdn.net
2404:7000:b110:0:face:b00c:0:a7         # scontent.fkhi11-1.fna.fbcdn.net
2404:7c00:1:2:face:b00c:3333:a3f        # instagram.fktm10-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:0:358e        # video.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:0:a7          # external.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:1155:a59      # z-1-scontent.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:3333:a3f      # instagram.fmaa1-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:0:358e         # video.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:0:a7           # scontent.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:3333:1b26      # z-p3-scontent.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:3333:a3f       # instagram.fpnh10-1.fna.fbcdn.net
2404:c0:2400:4:face:b00c:3333:a3f       # instagram.fcgk9-1.fna.fbcdn.net
