1.1.1.1             # awms-network.com
2.2.2.2             # afterschool.jp
2.59.36.31          # mandrilltube.com
2.59.38.43          # onlyarabporn.com
3.3.3.3             # ra.poringa.net
3.5.128.168         # shagmag-media-2.s3.us-east-2.amazonaws.com
3.5.130.79          # shagmag-media-2.s3.us-east-2.amazonaws.com
3.5.131.168         # shagmag-media-2.s3.us-east-2.amazonaws.com
3.5.132.105         # shagmag-media-2.s3.us-east-2.amazonaws.com
3.5.133.195         # shagmag-media-2.s3.us-east-2.amazonaws.com
3.12.142.178        # tracking.fanbridge.com
3.13.204.94         # ard.ihookup.com
3.18.7.81           # 3xkittens.com
3.19.116.195        # 3xkittens.com
3.33.130.190        # angelasavage.com
3.33.148.61         # suicidegirls.com
3.33.152.147        # myxxxcentral.com
3.33.224.147        # smutty.xyz
3.33.236.10         # betterhdporn.com
3.33.243.145        # 1grannyporn.com
3.33.251.168        # 2virgins.com
3.82.238.78         # fleshlightgirls.com
3.94.41.167         # angelelle.com
3.127.202.26        # analytic-client.cuntempire.com
3.130.204.160       # adultdatingtraffic.com
3.130.253.23        # adultdatingtraffic.com
3.134.61.251        # grannyporns.com
3.134.134.15        # grannyporns.com
3.140.13.188        # amateursolution.com
3.146.152.183       # pleasure-seeker.com
3.162.103.3         # bbcpie.com
3.162.103.7         # bbcpie.com
3.162.103.32        # virginiasanden.deviantart.com
3.162.103.48        # virginiasanden.deviantart.com
3.162.103.54        # virginiasanden.deviantart.com
3.162.103.76        # passion-hd.com
3.162.103.81        # passion-hd.com
3.162.103.83        # passion-hd.com
3.162.103.105       # passion-hd.com
3.162.103.114       # virginiasanden.deviantart.com
3.162.103.119       # bbcpie.com
3.162.103.122       # bbcpie.com
3.162.112.11        # prestige-av.com
3.162.112.18        # dse-web.com
3.162.112.19        # dse-web.com
3.162.112.24        # castingcouch-x.com
3.162.112.29        # exgfpass.com
3.162.112.61        # exgfpass.com
3.162.112.71        # castingcouch-x.com
3.162.112.81        # prestige-av.com
3.162.112.83        # prestige-av.com
3.162.112.89        # exgfpass.com
3.162.112.90        # exgfpass.com
3.162.112.92        # castingcouch-x.com
3.162.112.120       # castingcouch-x.com
3.162.112.122       # dse-web.com
3.162.112.123       # dse-web.com
3.162.125.59        # 420chan.org
3.162.125.74        # 420chan.org
3.162.125.104       # 420chan.org
3.162.125.123       # 420chan.org
3.167.37.2          # angelsamazing.com
3.167.37.9          # meet-to-fuck.com
3.167.37.23         # meet-to-fuck.com
3.167.37.24         # angelsamazing.com
3.167.37.25         # angelsamazing.com
3.167.37.51         # meet-to-fuck.com
3.167.37.57         # static02-cms-buddies.gammacdn.com
3.167.37.63         # static03-cms-fame.gammacdn.com
