31.13.66.12         # admin.instagram.com
31.13.66.167        # z-p4.maps.instagram.com
31.13.66.174        # z-p42.m.instagram.com
40.104.16.232       # autodiscover.instagram.com
52.96.36.136        # autodiscover.instagram.com
52.96.87.232        # autodiscover.instagram.com
52.96.97.184        # autodiscover.instagram.com
157.240.22.8        # business.intern.instagram.com
157.240.22.9        # display.latest.instagram.com
157.240.22.63       # scontent.cdninstagram.com
157.240.202.63      # scontent-cdg4-2.cdninstagram.com
157.240.214.5       # analytics-demo.secure.latest.instagram.com
157.240.214.9       # climatecommunication.latest.instagram.com
157.240.214.32      # z-p15.maps.instagram.com
157.240.214.63      # geo.instagram.com
157.240.214.167     # z-p4.graph.instagram.com
157.240.214.174     # b.i.instagram.com
157.240.229.3       # live-upload.instagram.com
157.240.229.4       # live-upload-staging.instagram.com
157.240.229.7       # shortwave.instagram.com
157.240.229.8       # adsurf.secure.latest.instagram.com
157.240.229.12      # guia-lima.latest.instagram.com
157.240.229.15      # b.secure.instagram.com
157.240.229.17      # about.instagram.com
157.240.229.21      # gateway.instagram.com
157.240.229.32      # z-p15.www.instagram.com
157.240.229.63      # logger.instagram.com
157.240.229.167     # z-p4.upload.instagram.com
157.240.229.174     # www.instagram.com
157.240.241.63      # i-fallback.instagram.com
163.70.128.63       # scontent-cdg4-3.cdninstagram.com
185.60.219.63       # scontent-cdg4-1.cdninstagram.com
